time,geo,age,sex\nat,BE,FO
1991,Wal,95,M,94,0
1991,Wal,95,F,569,15
1991,Wal,96,M,73,3
1991,Wal,96,F,335,21
1991,Wal,97,M,49,2
1991,Wal,97,F,209,4
1991,Wal,98,M,23,1
1991,Wal,98,F,149,10
1991,Wal,99,M,12,1
1991,Wal,99,F,69,5
1991,Wal,100,M,11,0
1991,Wal,100,F,49,3
1991,Wal,101,M,8,2
1991,Wal,101,F,31,2
1991,Wal,102,M,1,0
1991,Wal,102,F,25,0
1991,Wal,103,M,2,0
1991,Wal,103,F,11,0
1991,Wal,104,M,1,0
1991,Wal,104,F,3,1
1991,Wal,105,M,0,0
1991,Wal,105,F,1,0
1991,Wal,106,M,0,0
1991,Wal,106,F,1,0
1991,Wal,107,M,0,0
1991,Wal,107,F,0,0
1991,Wal,108,M,0,0
1991,Wal,108,F,0,0
1991,Wal,109,M,0,0
1991,Wal,109,F,0,0
1991,Wal,110,M,0,0
1991,Wal,110,F,0,0
1991,Wal,111,M,0,0
1991,Wal,111,F,0,0
1991,Wal,112,M,0,0
1991,Wal,112,F,0,0
1991,Wal,113,M,0,0
1991,Wal,113,F,0,0
1991,Wal,114,M,0,0
1991,Wal,114,F,0,0
1991,Wal,115,M,0,0
1991,Wal,115,F,0,0
1991,Wal,116,M,0,0
1991,Wal,116,F,0,0
1991,Wal,117,M,0,0
1991,Wal,117,F,0,0
1991,Wal,118,M,0,0
1991,Wal,118,F,0,0
1991,Wal,119,M,0,0
1991,Wal,119,F,0,0
1991,Wal,120,M,0,0
1991,Wal,120,F,0,0
1992,BruCap,0,M,4202,2269
1992,BruCap,0,F,4014,2192
1992,BruCap,1,M,3996,2427
1992,BruCap,1,F,3829,2261
1992,BruCap,2,M,3677,2344
1992,BruCap,2,F,3590,2277
1992,BruCap,3,M,3646,2337
1992,BruCap,3,F,3369,2300
1992,BruCap,4,M,3446,2280
1992,BruCap,4,F,3260,2217
1992,BruCap,5,M,3414,2250
1992,BruCap,5,F,3140,2152
1992,BruCap,6,M,3158,2253
1992,BruCap,6,F,2953,2067
